n,rv20,rv200,rv2000
1680,0.3098,0.2047,1.1769
1685,0.2975,0.2030,1.1780
1690,0.3379,0.2042,1.1791
1695,0.3058,0.2112,1.1790
1700,0.2867,0.2119,1.1808
1705,0.2827,0.2137,1.1800
1710,0.3377,0.2197,1.1805
1715,0.3004,0.2210,1.1815
1720,0.2448,0.2174,1.1808
1725,0.3201,0.2209,1.1819
1730,0.2663,0.2265,1.1800
1735,0.2372,0.2226,1.1810
1740,0.2767,0.2228,1.1814
1745,0.1817,0.2224,1.1808
1750,0.1504,0.2266,1.1803
1755,0.1152,0.2228,1.1801
1760,0.1062,0.2247,1.1810
1765,0.1475,0.2216,1.1802
1770,0.1548,0.2244,1.1821
1775,0.2486,0.2351,1.1853
1780,0.2823,0.2420,1.1887
1785,0.2175,0.2480,1.1919
1790,0.1878,0.2459,1.1945
1795,0.1540,0.2541,1.1994
1800,0.1512,0.2586,1.2038
1805,0.2903,0.2702,1.2046
1810,0.5140,0.2790,1.2017
1815,0.4823,0.2911,1.1989
1820,0.2933,0.3034,1.1963
1825,0.1689,0.3062,1.1951
1830,0.3018,0.3027,1.1960
1835,0.3756,0.3124,1.1960
1840,0.3160,0.3153,1.1939
1845,0.3180,0.3181,1.1954
1850,0.2909,0.3186,1.1970
1855,0.2420,0.3214,1.1956
1860,0.6351,0.3624,1.1933
1865,0.7030,0.3969,1.1915
1870,0.4610,0.4001,1.1894
1875,0.4016,0.4005,1.1871
1880,0.3188,0.4132,1.1844
1885,0.2370,0.4412,1.1816
1890,0.2109,0.4378,1.1793
1895,0.2293,0.4349,1.1774
1900,0.2770,0.4399,1.1756
1905,0.2016,0.4418,1.1738
1910,0.2367,0.4361,1.1719
1915,0.2305,0.4358,1.1696
1920,0.3042,0.4637,1.1676
1925,0.3065,0.4744,1.1650
1930,0.2221,0.4831,1.1621
1935,0.2036,0.5090,1.1600
1940,0.1968,0.5263,1.1580
1945,0.1881,0.5408,1.1553
1950,0.1835,0.5572,1.1528
1955,0.1417,0.5644,1.1501
1960,0.0858,0.5799,1.1479
1965,0.1024,0.5852,1.1453
1970,0.1358,0.5901,1.1434
1975,0.1732,0.5760,1.1412
1980,0.1672,0.5574,1.1388
1985,0.2159,0.5378,1.1369
1990,0.1731,0.5140,1.1343
1995,0.1826,0.4893,1.1332
2000,0.1942,0.4401,1.1290
2005,0.1452,0.4156,1.1168
2010,0.1914,0.4291,1.1072
2015,0.1566,0.4399,1.0939
2020,0.1805,0.4505,1.0840
2025,0.1758,0.4498,1.0762
2030,0.2181,0.4252,1.0544
2035,0.2553,0.4095,1.0349
2040,0.2640,0.4087,1.0274
2045,0.2028,0.3650,1.0120
2050,0.1795,0.3258,0.9949
2055,0.1783,0.3052,0.9758
2060,0.2254,0.3111,0.9583
2065,0.2663,0.3082,0.9420
2070,0.1994,0.2951,0.9238
2075,0.2095,0.2884,0.8975
2080,0.1200,0.2839,0.8748
2085,0.1766,0.2934,0.8597
2090,0.2154,0.2858,0.8431
2095,0.1715,0.2670,0.8306
2100,0.2026,0.2514,0.8115
2105,0.1451,0.2373,0.7988
2110,0.1629,0.2179,0.7943
2115,0.1816,0.2020,0.7875
2120,0.1556,0.1923,0.7791
2125,0.1163,0.1914,0.7715
2130,0.1538,0.1943,0.7642
2135,0.1687,0.1931,0.7639
2140,0.2049,0.1888,0.7639
2145,0.2188,0.1912,0.7650
2150,0.1961,0.1999,0.7643
2155,0.1687,0.1995,0.7658
2160,0.1881,0.2044,0.7666
2165,0.2277,0.2028,0.7670
2170,0.1872,0.2029,0.7680
2175,0.2559,0.2048,0.7696
2180,0.2624,0.2112,0.7695
2185,0.2150,0.2033,0.7697
2190,0.3213,0.2264,0.7704
2195,0.2053,0.2344,0.7699
2200,0.2637,0.2496,0.7706
2205,0.3562,0.2853,0.7717
2210,0.2797,0.3159,0.7724
2215,0.2510,0.3471,0.7727
2220,0.2313,0.3827,0.7743
2225,0.2153,0.4012,0.7751
2230,0.2823,0.4469,0.7774
2235,0.3600,0.4666,0.7788
2240,0.2776,0.4766,0.7792
2245,0.3346,0.4897,0.7797
2250,0.2485,0.4920,0.7797
2255,0.2251,0.4981,0.7797
2260,0.2255,0.4993,0.7795
2265,0.2017,0.5009,0.7787
2270,0.1775,0.4982,0.7746
2275,0.1811,0.5021,0.7750
2280,0.1835,0.5084,0.7750
2285,0.2138,0.5215,0.7764
2290,0.2276,0.5365,0.7783
2295,0.1768,0.5345,0.7760
2300,0.2132,0.5331,0.7756
2305,0.2842,0.5083,0.7741
2310,0.2558,0.5078,0.7720
2315,0.2804,0.5078,0.7699
2320,0.2627,0.5085,0.7666
2325,0.2237,0.4979,0.7629
2330,0.1725,0.4899,0.7600
2335,0.1973,0.4773,0.7575
2340,0.2434,0.4580,0.7540
2345,0.2269,0.4250,0.7497
2350,0.2387,0.3955,0.7449
2355,0.2236,0.3645,0.7414
2360,0.1879,0.3407,0.7368
2365,0.1992,0.3212,0.7294
2370,0.1347,0.3009,0.7242
2375,0.1806,0.2881,0.7198
2380,0.2173,0.2844,0.7172
2385,0.2734,0.2856,0.7144
2390,0.2841,0.2735,0.7106
2395,0.1720,0.2738,0.7058
2400,0.1681,0.2693,0.7024
2405,0.1126,0.2692,0.6995
2410,0.1079,0.2736,0.6947
2415,0.1183,0.2761,0.6911
2420,0.1622,0.2759,0.6898
2425,0.2410,0.2848,0.6882
2430,0.2431,0.2747,0.6876
2435,0.2322,0.2682,0.6861
2440,0.1555,0.2711,0.6861
2445,0.1485,0.2859,0.6874
2450,0.2802,0.2971,0.6785
2455,0.2793,0.3081,0.6791
2460,0.2716,0.3125,0.6798
2465,0.2498,0.3090,0.6795
2470,0.2057,0.3320,0.6819
2475,0.2298,0.3328,0.6827
2480,0.2655,0.3355,0.6823
2485,0.2417,0.3303,0.6840
2490,0.2063,0.3123,0.6842
2495,0.2126,0.3135,0.6855
2500,0.2006,0.3138,0.6868
2505,0.1997,0.3193,0.6879
2510,0.1427,0.3099,0.6869
2515,0.2077,0.2960,0.6862
2520,0.2395,0.2962,0.6871
2525,0.2485,0.2889,0.6878
2530,0.3068,0.2885,0.6890
2535,0.2193,0.2759,0.6903
2540,0.1704,0.2670,0.6901
2545,0.2135,0.2653,0.6906
2550,0.2061,0.2568,0.6907
2555,0.2059,0.2512,0.6917
2560,0.2554,0.2564,0.6917
2565,0.2486,0.2567,0.6924
2570,0.2078,0.2544,0.6927
2575,0.1630,0.2445,0.6930
2580,0.1539,0.2389,0.6935
2585,0.1358,0.2294,0.6942
2590,0.1739,0.2248,0.6955
2595,0.1769,0.2211,0.6956
2600,0.1400,0.2144,0.6946
2605,0.1332,0.2161,0.6946
2610,0.0748,0.2178,0.6940
