dataset,window_len,pipeline,model,fold,seed,accuracy,balanced_accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,precision_macro,recall_macro,cohen_kappa,mcc,ece,log_loss,mean_confidence,std_confidence,mean_entropy,std_entropy,data_load_time_s,train_cpu_s,train_wall_s,infer_wall_s,model_size_mb,train_samples,test_samples,n_features
office_localization_data,1000,amplitude_sanitized,RandomForest,-1,42,0.8943,0.9099,0.8893,0.8891,0.9079,0.8943,0.8918,0.9099,0.856,0.863,0.0646,2.4403,0.917,0.1529,0.1787,0.2922,8947.732,21.391,7.752,4.4474,0.19,596,511,104000
office_localization_data,1000,amplitude_sanitized,XGBoost,-1,42,0.9041,0.9137,0.9022,0.8911,0.9178,0.9041,0.8888,0.9137,0.8697,0.8749,0.121,0.5698,0.9282,0.1668,0.1526,0.2983,8947.732,2311.688,683.187,0.5798,0.3,596,511,104000
office_localization_data,1000,rolling_variance,RandomForest,-1,42,0.863,0.881,0.8576,0.8369,0.9071,0.863,0.8567,0.881,0.816,0.8316,0.0829,0.3764,0.783,0.1798,0.5343,0.3273,1068.899,22.203,5.339,2.1095,1.19,596,511,52000
office_localization_data,1000,rolling_variance,XGBoost,-1,42,0.8571,0.8645,0.854,0.8273,0.8924,0.8571,0.8397,0.8645,0.8079,0.8203,0.0584,0.417,0.9116,0.1342,0.2367,0.2797,1068.899,1631.969,506.272,0.6154,0.37,596,511,52000
office_localization_data,2000,amplitude,RandomForest,-1,42,0.8937,0.9099,0.8895,0.8839,0.9101,0.8937,0.8848,0.9099,0.8555,0.8627,0.0743,2.3466,0.8988,0.1642,0.2334,0.3098,905.675,7.438,3.373,1.9038,0.19,296,254,104000
office_localization_data,2000,amplitude,XGBoost,-1,42,0.7638,0.7937,0.7559,0.778,0.7864,0.7638,0.796,0.7937,0.6769,0.6911,0.2038,1.354,0.9583,0.1062,0.1363,0.2571,905.675,1066.203,321.884,0.6775,0.29,296,254,104000
office_localization_data,2000,amplitude_phase,RandomForest,-1,42,0.878,0.8964,0.8741,0.8707,0.8958,0.878,0.8726,0.8964,0.8341,0.8414,0.0662,2.2359,0.8991,0.1668,0.2264,0.3128,1391.611,6.906,2.386,1.438,0.19,296,254,208000
office_localization_data,2000,amplitude_phase,XGBoost,-1,42,0.7638,0.7937,0.7559,0.778,0.7864,0.7638,0.796,0.7937,0.6769,0.6911,0.2038,1.354,0.9583,0.1062,0.1363,0.2571,1391.611,2980.062,406.114,0.8845,0.29,296,254,208000
office_localization_data,2000,amplitude_sanitized,RandomForest,-1,42,0.878,0.8964,0.8741,0.8707,0.8958,0.878,0.8726,0.8964,0.8341,0.8414,0.0661,2.2361,0.899,0.1668,0.227,0.3128,2729.779,13.172,4.095,1.9372,0.19,296,254,208000
office_localization_data,2000,amplitude_sanitized,XGBoost,-1,42,0.7638,0.7937,0.7559,0.778,0.7864,0.7638,0.796,0.7937,0.6769,0.6911,0.2139,1.3361,0.9581,0.1064,0.1382,0.2566,2729.779,3526.312,550.059,1.4739,0.29,296,254,208000
