dataset,window_len,pipeline,model,n_seeds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,cohen_kappa_mean,cohen_kappa_std,mcc_mean,mcc_std,ece_mean,ece_std,log_loss_mean,log_loss_std,mean_confidence_mean,mean_confidence_std,std_confidence_mean,std_confidence_std,mean_entropy_mean,mean_entropy_std,std_entropy_mean,std_entropy_std
home_occupation_data,wl1000,rolling_variance,XGBoost,1,0.9754,0.0,0.9754,0.0,0.9754,0.0,0.9754,0.0,0.9754,0.0,0.9754,0.0,0.9754,0.0,0.9754,0.0,0.9631,0.0,0.9631,0.0,0.0307,0.0,0.066,0.0,0.958,0.0,0.0868,0.0,0.1309,0.0,0.1861,0.0
home_occupation_data,wl2000,amplitude,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.011,0.0,0.0114,0.0,0.989,0.0,0.0258,0.0,0.0475,0.0,0.0809,0.0
home_occupation_data,wl2000,amplitude,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0081,0.0,0.0083,0.0,0.9919,0.0,0.0191,0.0,0.043,0.0,0.0585,0.0
home_occupation_data,wl2000,amplitude_phase,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0156,0.0,0.0161,0.0,0.9844,0.0,0.0267,0.0,0.0701,0.0,0.0879,0.0
home_occupation_data,wl2000,amplitude_phase,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0085,0.0,0.0087,0.0,0.9915,0.0,0.0206,0.0,0.0443,0.0,0.061,0.0
home_occupation_data,wl2000,amplitude_sanitized,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0143,0.0,0.0148,0.0,0.9857,0.0,0.0254,0.0,0.065,0.0,0.0834,0.0
home_occupation_data,wl2000,amplitude_sanitized,XGBoost,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0109,0.0,0.0114,0.0,0.9891,0.0,0.0289,0.0,0.0525,0.0,0.0725,0.0
home_occupation_data,wl2000,rolling_variance,RandomForest,1,0.9775,0.0,0.9775,0.0,0.9775,0.0,0.9775,0.0,0.978,0.0,0.9775,0.0,0.978,0.0,0.9775,0.0,0.9662,0.0,0.9665,0.0,0.2116,0.0,0.294,0.0,0.7659,0.0,0.1536,0.0,0.5788,0.0,0.2638,0.0
home_occupation_data,wl2000,rolling_variance,XGBoost,1,0.964,0.0,0.964,0.0,0.9641,0.0,0.9641,0.0,0.9642,0.0,0.964,0.0,0.9642,0.0,0.964,0.0,0.9459,0.0,0.946,0.0,0.0304,0.0,0.1193,0.0,0.9336,0.0,0.1088,0.0,0.1965,0.0,0.2339,0.0
home_occupation_data,wl500,amplitude,RandomForest,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0055,0.0,0.0056,0.0,0.9945,0.0,0.0173,0.0,0.0236,0.0,0.0603,0.0
